単元,Q.単元,品詞,Q.品詞,単語,異形,Q.単語,出現回数,answer,間違い1,間違い2,間違い3,kaisetsu,辞書引用,抜粋,ランダム,ショートコード,,,
2:動詞と名詞の基本構造,2:動詞と名詞の基本構造クイズ,ω動詞,ω動詞クイズ,διδασκω,,Q. διδασκω,97,教える,持つ、持っている　所有する,見る、観る,投げる,(97)教える，教導（教授）する；［人格の対格］だれだれを$に%，［教授内容の対格(またはperi.属格］～を(［不定詞］～することを．,教える，教導（教授）する；［人格の対格］だれだれを$に%，［教授内容の対格(またはperi.属格］～を(［不定詞］～することを．,(97)教える,"""true""","[quiz question=""教える,持つ、持っている　所有する,見る、観る,投げる"" answer=""教える"" kaisetsu=""(97)教える，教導（教授）する；［人格の対格］だれだれを$に%，［教授内容の対格(またはperi.属格］～を(［不定詞］～することを．"" random=""true""]διδασκω[/quiz]",,,
2:動詞と名詞の基本構造,2:動詞と名詞の基本構造クイズ,ω動詞,ω動詞クイズ,λαμβάνω,,Q. λαμβάνω,258,取る、受け取る,教える,持つ、持っている　所有する,見る、観る,(258) ①取る，得る，つかまえる，捕える，取り出す，取り立てる(（金や捧げ物を）集める．②（無理に）取り上げる，奪い取る．③受け取る，受ける，得る，頂く，もらう，着る．④（試練・不幸・裁き・罰等を）経験する，～に会う，を招く，身に受ける．⑤（相手を特定の待遇で引き受けて）経験させる，取り扱う，あしらう；ῥαπισμασιν［＋人の対格］λαμβανω平手打ちを食わせる；προσωπον λαμβανω［属格］( ～の顔を受け入れる，(特定の人を優遇して)差別をする，えこひいきする，ルカ20:21―ヘブライ的表現．⑥受け入れる，ヨハ1:12．⑦［動作を表わす名詞と］～をする：πεῖραν λαμβανω 企てる；σθμβουριον λαμβανω 協議をする；ὑπομνησιν λαμβανω 思い出す，等．, ①取る，得る，つかまえる，捕える，取り出す，取り立てる(（金や捧げ物を）集める．②（無理に）取り上げる，奪い取る．③受け取る，受ける，得る，頂く，もらう，着る．④（試練・不幸・裁き・罰等を）経験する，～に会う，を招く，身に受ける．⑤（相手を特定の待遇で引き受けて）経験させる，取り扱う，あしらう；ῥαπισμασιν［＋人の対格］λαμβανω平手打ちを食わせる；προσωπον λαμβανω［属格］( ～の顔を受け入れる，(特定の人を優遇して)差別をする，えこひいきする，ルカ20:21―ヘブライ的表現．⑥受け入れる，ヨハ1:12．⑦［動作を表わす名詞と］～をする：πεῖραν λαμβανω 企てる；σθμβουριον λαμβανω 協議をする；ὑπομνησιν λαμβανω 思い出す，等．,(258)取る、受け取る,"""true""","[quiz question=""取る、受け取る,教える,持つ、持っている　所有する,見る、観る"" answer=""取る、受け取る"" kaisetsu=""(258) ①取る，得る，つかまえる，捕える，取り出す，取り立てる(（金や捧げ物を）集める．②（無理に）取り上げる，奪い取る．③受け取る，受ける，得る，頂く，もらう，着る．④（試練・不幸・裁き・罰等を）経験する，～に会う，を招く，身に受ける．⑤（相手を特定の待遇で引き受けて）経験させる，取り扱う，あしらう；ῥαπισμασιν［＋人の対格］λαμβανω平手打ちを食わせる；προσωπον λαμβανω［属格］( ～の顔を受け入れる，(特定の人を優遇して)差別をする，えこひいきする，ルカ20:21―ヘブライ的表現．⑥受け入れる，ヨハ1:12．⑦［動作を表わす名詞と］～をする：πεῖραν λαμβανω 企てる；σθμβουριον λαμβανω 協議をする；ὑπομνησιν λαμβανω 思い出す，等．"" random=""true""]λαμβάνω[/quiz]",,,
2:動詞と名詞の基本構造,2:動詞と名詞の基本構造クイズ,ω動詞,ω動詞クイズ,λέγω,,Q. λέγω,2354,言う、話す、告げる,取る、受け取る,教える,持つ、持っている　所有する,"(2354)①言う（言われる内容を伝える語，…内容のことを言う，…と言う），告げる，語る，話す，述べる，言い表わす；（～内容のことを）言おうとする，（～のことを）意味する；ヨハ20:16，ὁ λεγεταιそれは以下のことを言おうとする，すなわち～という意味である； (心の中で%言う，思う，(文書で%伝える；（旧約聖書の記者が聖書中で言った( εἰπεν 書いた）．②呼ぶ，称する，名づける，唱える，呼びかける，マタ1:16，マル10:18．③（命令の意味で( ～しなさいと）言いつける，命じる，マタ5:34，39，ロマ2:22  ④語幹λεγ  には「言う」の他に「選ぶ」(「集める」等の意味があるが，新約本文中ではἐκλεγομαι,συλλεγω 等の複合動詞として以外は見られない．
類語：λαλῶ 言葉を話す，しゃべる，口に出して言う，発言する；話す動作をいう語；φωνῶ音声を発する，声高に話す；これに対しλεγωは話しの内容に目を向ける語（上記説明を見よ）で内にある思想を言語によって表現する； λογοςjの項をも参照","①言う（言われる内容を伝える語，…内容のことを言う，…と言う），告げる，語る，話す，述べる，言い表わす；（～内容のことを）言おうとする，（～のことを）意味する；ヨハ20:16，ὁ λεγεταιそれは以下のことを言おうとする，すなわち～という意味である； (心の中で%言う，思う，(文書で%伝える；（旧約聖書の記者が聖書中で言った( εἰπεν 書いた）．②呼ぶ，称する，名づける，唱える，呼びかける，マタ1:16，マル10:18．③（命令の意味で( ～しなさいと）言いつける，命じる，マタ5:34，39，ロマ2:22  ④語幹λεγ  には「言う」の他に「選ぶ」(「集める」等の意味があるが，新約本文中ではἐκλεγομαι,συλλεγω 等の複合動詞として以外は見られない．
類語：λαλῶ 言葉を話す，しゃべる，口に出して言う，発言する；話す動作をいう語；φωνῶ音声を発する，声高に話す；これに対しλεγωは話しの内容に目を向ける語（上記説明を見よ）で内にある思想を言語によって表現する； λογοςjの項をも参照",(2354)言う、話す、告げる,"""true""","[quiz question=""言う、話す、告げる,取る、受け取る,教える,持つ、持っている　所有する"" answer=""言う、話す、告げる"" kaisetsu=""(2354)①言う（言われる内容を伝える語，…内容のことを言う，…と言う），告げる，語る，話す，述べる，言い表わす；（～内容のことを）言おうとする，（～のことを）意味する；ヨハ20:16，ὁ λεγεταιそれは以下のことを言おうとする，すなわち～という意味である； (心の中で%言う，思う，(文書で%伝える；（旧約聖書の記者が聖書中で言った( εἰπεν 書いた）．②呼ぶ，称する，名づける，唱える，呼びかける，マタ1:16，マル10:18．③（命令の意味で( ～しなさいと）言いつける，命じる，マタ5:34，39，ロマ2:22  ④語幹λεγ  には「言う」の他に「選ぶ」(「集める」等の意味があるが，新約本文中ではἐκλεγομαι,συλλεγω 等の複合動詞として以外は見られない．
類語：λαλῶ 言葉を話す，しゃべる，口に出して言う，発言する；話す動作をいう語；φωνῶ音声を発する，声高に話す；これに対しλεγωは話しの内容に目を向ける語（上記説明を見よ）で内にある思想を言語によって表現する； λογοςjの項をも参照"" random=""true""]λέγω[/quiz]",,,
2:動詞と名詞の基本構造,2:動詞と名詞の基本構造クイズ,ω動詞,ω動詞クイズ,λύω,,Q. λύω,42,解く、解き放つ,受ける,取る、受け取る,教える,(42)①解く，ほどく，ゆるめる，マコ1:7；束縛を解く，解放する，解いてやる，マコ11:2；脱ぐ，脱がせる，使7:33．②バラバラにする，分解する，解体する，こわす，ヨハ2:19；破る，破壊する，違反する，無視する，ヨハ7:23．③滅ぼす，廃止する，無効と宣言する，無効にする，ヨハ5:18．④（集会を）解散する，使13:43．,①解く，ほどく，ゆるめる，マコ1:7；束縛を解く，解放する，解いてやる，マコ11:2；脱ぐ，脱がせる，使7:33．②バラバラにする，分解する，解体する，こわす，ヨハ2:19；破る，破壊する，違反する，無視する，ヨハ7:23．③滅ぼす，廃止する，無効と宣言する，無効にする，ヨハ5:18．④（集会を）解散する，使13:43．,(42)解く、解き放つ,"""true""","[quiz question=""解く、解き放つ,受ける,取る、受け取る,教える"" answer=""解く、解き放つ"" kaisetsu=""(42)①解く，ほどく，ゆるめる，マコ1:7；束縛を解く，解放する，解いてやる，マコ11:2；脱ぐ，脱がせる，使7:33．②バラバラにする，分解する，解体する，こわす，ヨハ2:19；破る，破壊する，違反する，無視する，ヨハ7:23．③滅ぼす，廃止する，無効と宣言する，無効にする，ヨハ5:18．④（集会を）解散する，使13:43．"" random=""true""]λύω[/quiz]",,,
2:動詞と名詞の基本構造,2:動詞と名詞の基本構造クイズ,εω動詞,εω動詞クイズ,ζητέω,,Q. ζητέω,117,探す、求める,解く、解き放つ,受ける,取る、受け取る,(117)①さがす，捜し求める，尋ね求める，尋ねて捜す，尋ね出す，(命を)ねらう，追求する．②(しようと)努める，(得ようと)求める，欲しがる，願望する：［不定詞と］，ἱνα＋接続法］～しよう(したいと)．③要求する，請求する，求める．,①さがす，捜し求める，尋ね求める，尋ねて捜す，尋ね出す，(命を)ねらう，追求する．②(しようと)努める，(得ようと)求める，欲しがる，願望する：［不定詞と］，ἱνα＋接続法］～しよう(したいと)．③要求する，請求する，求める．,(117)探す、求める,"""true""","[quiz question=""探す、求める,解く、解き放つ,受ける,取る、受け取る"" answer=""探す、求める"" kaisetsu=""(117)①さがす，捜し求める，尋ね求める，尋ねて捜す，尋ね出す，(命を)ねらう，追求する．②(しようと)努める，(得ようと)求める，欲しがる，願望する：［不定詞と］，ἱνα＋接続法］～しよう(したいと)．③要求する，請求する，求める．"" random=""true""]ζητέω[/quiz]",,,
2:動詞と名詞の基本構造,2:動詞と名詞の基本構造クイズ,εω動詞,εω動詞クイズ,καλέω,,Q. καλέω,148,呼ぶ、召喚する,探す、求める,解く、解き放つ,受ける,(148)①呼ぶ，呼び寄せる，召す，召し寄せる，招く) ②（家に）招く，招き入れる，招待する) ③（名を）呼ぶ，名づける，となえる，称す，と言う；πνευματικως καλω＝象徴的に（たとえて）名づける，黙11:8．,①呼ぶ，呼び寄せる，召す，召し寄せる，招く) ②（家に）招く，招き入れる，招待する) ③（名を）呼ぶ，名づける，となえる，称す，と言う；πνευματικως καλω＝象徴的に（たとえて）名づける，黙11:8．,(148)呼ぶ、召喚する,"""true""","[quiz question=""呼ぶ、召喚する,探す、求める,解く、解き放つ,受ける"" answer=""呼ぶ、召喚する"" kaisetsu=""(148)①呼ぶ，呼び寄せる，召す，召し寄せる，招く) ②（家に）招く，招き入れる，招待する) ③（名を）呼ぶ，名づける，となえる，称す，と言う；πνευματικως καλω＝象徴的に（たとえて）名づける，黙11:8．"" random=""true""]καλέω[/quiz]",,,
2:動詞と名詞の基本構造,2:動詞と名詞の基本構造クイズ,εω動詞,εω動詞クイズ,λαλέω,,Q. λαλέω,296,話す、言う,呼ぶ、召喚する,探す、求める,解く、解き放つ,"(296)①音声を発する，声を出す，鳴る．②話す，語る，話しかける，告げる，ものを言う，言う，口にする；προς το οὑς λαλω (耳に話し掛ける)小声で話す(限られた人数の聞き手に―Louw & Nida)；語源からの「無駄な饒舌」の意味は失われ，イエスと使徒たちの時代には普通のspeakの意味で使われた．
類語：λεγω","①音声を発する，声を出す，鳴る．②話す，語る，話しかける，告げる，ものを言う，言う，口にする；προς το οὑς λαλω (耳に話し掛ける)小声で話す(限られた人数の聞き手に―Louw & Nida)；語源からの「無駄な饒舌」の意味は失われ，イエスと使徒たちの時代には普通のspeakの意味で使われた．
類語：λεγω",(296)話す、言う,"""true""","[quiz question=""話す、言う,呼ぶ、召喚する,探す、求める,解く、解き放つ"" answer=""話す、言う"" kaisetsu=""(296)①音声を発する，声を出す，鳴る．②話す，語る，話しかける，告げる，ものを言う，言う，口にする；προς το οὑς λαλω (耳に話し掛ける)小声で話す(限られた人数の聞き手に―Louw & Nida)；語源からの「無駄な饒舌」の意味は失われ，イエスと使徒たちの時代には普通のspeakの意味で使われた．
類語：λεγω"" random=""true""]λαλέω[/quiz]",,,
2:動詞と名詞の基本構造,2:動詞と名詞の基本構造クイズ,εω動詞,εω動詞クイズ,ποιέω,,Q. ποιέω,568,作る、する,話す、言う,呼ぶ、召喚する,探す、求める,(568)①作る，製作（作製）する，著作する，著（あら）わす，造る，設ける，任命する；～を生じる，引き起こす；ὁδον ποιω（道を作る）＝進む，歩いて行く；καρπον ποιω 実を結ぶ；．②英語のmakeと同じように（ＡをＢに）する，マコ3:12，ヨハ5:11；として（任命して）立てる，使2:36，マタ4:19；と見なす，扱う，マタ12:33．②する，なす，行なう，実施する，働く(（時を）過ごす（ヤコ4:13）；（抽象名詞の表す動作を）する；πολεμον ποιω 戦いをしかける，いどむ，戦う；ποιω....μετα 属格 はヘブライ的表現で，誰々のために（に対して）～をする；ποιησαι ἐλεος μετα των πατερων先祖たちに憐れみをなし給う，ルカ1:72；ὁσα ἐποιησεν ὁ θεος μετ΄ αὐτων，神が彼らのためになさった限りのことを，使14:27；［ ἱνα と］ ～ようにする，～するように取り計らう，コロ4:16  ③［使役動詞として］英語のmakeと同じように［対格と不定詞］～に（を）～させる，ヨハ6:11；διδωμι 英語のletに当たる)に比べ積極的使役を表現する．,①作る，製作（作製）する，著作する，著（あら）わす，造る，設ける，任命する；～を生じる，引き起こす；ὁδον ποιω（道を作る）＝進む，歩いて行く；καρπον ποιω 実を結ぶ；．②英語のmakeと同じように（ＡをＢに）する，マコ3:12，ヨハ5:11；として（任命して）立てる，使2:36，マタ4:19；と見なす，扱う，マタ12:33．②する，なす，行なう，実施する，働く(（時を）過ごす（ヤコ4:13）；（抽象名詞の表す動作を）する；πολεμον ποιω 戦いをしかける，いどむ，戦う；ποιω....μετα 属格 はヘブライ的表現で，誰々のために（に対して）～をする；ποιησαι ἐλεος μετα των πατερων先祖たちに憐れみをなし給う，ルカ1:72；ὁσα ἐποιησεν ὁ θεος μετ΄ αὐτων，神が彼らのためになさった限りのことを，使14:27；［ ἱνα と］ ～ようにする，～するように取り計らう，コロ4:16  ③［使役動詞として］英語のmakeと同じように［対格と不定詞］～に（を）～させる，ヨハ6:11；διδωμι 英語のletに当たる)に比べ積極的使役を表現する．,(568)作る、する,"""true""","[quiz question=""作る、する,話す、言う,呼ぶ、召喚する,探す、求める"" answer=""作る、する"" kaisetsu=""(568)①作る，製作（作製）する，著作する，著（あら）わす，造る，設ける，任命する；～を生じる，引き起こす；ὁδον ποιω（道を作る）＝進む，歩いて行く；καρπον ποιω 実を結ぶ；．②英語のmakeと同じように（ＡをＢに）する，マコ3:12，ヨハ5:11；として（任命して）立てる，使2:36，マタ4:19；と見なす，扱う，マタ12:33．②する，なす，行なう，実施する，働く(（時を）過ごす（ヤコ4:13）；（抽象名詞の表す動作を）する；πολεμον ποιω 戦いをしかける，いどむ，戦う；ποιω....μετα 属格 はヘブライ的表現で，誰々のために（に対して）～をする；ποιησαι ἐλεος μετα των πατερων先祖たちに憐れみをなし給う，ルカ1:72；ὁσα ἐποιησεν ὁ θεος μετ΄ αὐτων，神が彼らのためになさった限りのことを，使14:27；［ ἱνα と］ ～ようにする，～するように取り計らう，コロ4:16  ③［使役動詞として］英語のmakeと同じように［対格と不定詞］～に（を）～させる，ヨハ6:11；διδωμι 英語のletに当たる)に比べ積極的使役を表現する．"" random=""true""]ποιέω[/quiz]",,,
2:動詞と名詞の基本構造,2:動詞と名詞の基本構造クイズ,εω動詞,εω動詞クイズ,τηρέω,,Q. τηρέω,70,保つ、維持する、（律法を）守る,作る、する,話す、言う,呼ぶ、召喚する,"(70) ①見張る，番をする，監視する，見張りする，監禁する．②（見張って）守る，保持する，保つ，保存する．③（命令や戒めを）守る，遵守する，実行する．
類語：φυλασσω 保管，保護；τηρω 注意して見張る；「φυλασσωが手段，τηρω が結果」（"," ①見張る，番をする，監視する，見張りする，監禁する．②（見張って）守る，保持する，保つ，保存する．③（命令や戒めを）守る，遵守する，実行する．
類語：φυλασσω 保管，保護；τηρω 注意して見張る；「φυλασσωが手段，τηρω が結果」（",(70)保つ、維持する、（律法を）守る,"""true""","[quiz question=""保つ、維持する、（律法を）守る,作る、する,話す、言う,呼ぶ、召喚する"" answer=""保つ、維持する、（律法を）守る"" kaisetsu=""(70) ①見張る，番をする，監視する，見張りする，監禁する．②（見張って）守る，保持する，保つ，保存する．③（命令や戒めを）守る，遵守する，実行する．
類語：φυλασσω 保管，保護；τηρω 注意して見張る；「φυλασσωが手段，τηρω が結果」（"" random=""true""]τηρέω[/quiz]",,,
2:動詞と名詞の基本構造,2:動詞と名詞の基本構造クイズ,εω動詞,εω動詞クイズ,φιλέω,,Q. φιλέω,25,愛する、好む,保つ、維持する、（律法を）守る,作る、する,話す、言う,"(25) ①愛する，好む，好きである；人情や友情，また近くにいて常に交わりを持つ者の間に生じる自然の親近感や親愛の情を表わす動詞．②接吻する，マル14:44．
類語：αγαπω"," ①愛する，好む，好きである；人情や友情，また近くにいて常に交わりを持つ者の間に生じる自然の親近感や親愛の情を表わす動詞．②接吻する，マル14:44．
類語：αγαπω",(25)愛する、好む,"""true""","[quiz question=""愛する、好む,保つ、維持する、（律法を）守る,作る、する,話す、言う"" answer=""愛する、好む"" kaisetsu=""(25) ①愛する，好む，好きである；人情や友情，また近くにいて常に交わりを持つ者の間に生じる自然の親近感や親愛の情を表わす動詞．②接吻する，マル14:44．
類語：αγαπω"" random=""true""]φιλέω[/quiz]",,,
2:動詞と名詞の基本構造,2:動詞と名詞の基本構造クイズ,ος変化名詞,ος変化名詞クイズ,ἄγγελος,,Q. ἄγγελος,175,使徒、天使,愛する、好む,保つ、維持する、（律法を）守る,作る、する,(175)①使者( 使いの者．②天使( み使い),①使者( 使いの者．②天使( み使い),(175)使徒、天使,"""true""","[quiz question=""使徒、天使,愛する、好む,保つ、維持する、（律法を）守る,作る、する"" answer=""使徒、天使"" kaisetsu=""(175)①使者( 使いの者．②天使( み使い)"" random=""true""]ἄγγελος[/quiz]",,,
2:動詞と名詞の基本構造,2:動詞と名詞の基本構造クイズ,ος変化名詞,ος変化名詞クイズ,ἀδελφός,,Q. ἀδελφός,343,兄弟,民、人々、国民,人間、人,キリスト、メシア,(343) 兄弟，兄，弟；夫や同志も, 兄弟，兄，弟；夫や同志も,(343)兄弟,"""true""","[quiz question=""兄弟,民、人々、国民,人間、人,キリスト、メシア"" answer=""兄弟"" kaisetsu=""(343) 兄弟，兄，弟；夫や同志も"" random=""true""]ἀδελφός[/quiz]",,,
2:動詞と名詞の基本構造,2:動詞と名詞の基本構造クイズ,ος変化名詞,ος変化名詞クイズ,ἄρτος,,Q. ἄρτος,97,パン,兄弟,民、人々、国民,人間、人,"(97) パン《物質名詞のbreadとはやや異なり,一塊のパンloafを指すこともあれば，複数でも使う》；食物．"," パン《物質名詞のbreadとはやや異なり,一塊のパンloafを指すこともあれば，複数でも使う》；食物．",(97)パン,"""true""","[quiz question=""パン,兄弟,民、人々、国民,人間、人"" answer=""パン"" kaisetsu=""(97) パン《物質名詞のbreadとはやや異なり,一塊のパンloafを指すこともあれば，複数でも使う》；食物．"" random=""true""]ἄρτος[/quiz]",,,
2:動詞と名詞の基本構造,2:動詞と名詞の基本構造クイズ,ος変化名詞,ος変化名詞クイズ,δοῦλος,,Q. δοῦλος,124,奴隷,パン,兄弟,民、人々、国民,"(124)①奴隷(自由人の身分を持たず主人に所有される)しもべ ②(本来は　形）-η,-ου,～に隷属する［与格と］(ロマ6：19)
類語：διάκονος、θεράπων、ὑπηρέτης","①奴隷(自由人の身分を持たず主人に所有される)しもべ ②(本来は　形）-η,-ου,～に隷属する［与格と］(ロマ6：19)
類語：διάκονος、θεράπων、ὑπηρέτης",(124)奴隷,"""true""","[quiz question=""奴隷,パン,兄弟,民、人々、国民"" answer=""奴隷"" kaisetsu=""(124)①奴隷(自由人の身分を持たず主人に所有される)しもべ ②(本来は　形）-η,-ου,～に隷属する［与格と］(ロマ6：19)
類語：διάκονος、θεράπων、ὑπηρέτης"" random=""true""]δοῦλος[/quiz]",,,
2:動詞と名詞の基本構造,2:動詞と名詞の基本構造クイズ,ος変化名詞,ος変化名詞クイズ,θεός,,Q. θεός,1317,神,奴隷,パン,兄弟,"(1317)①ギリシャ神話から借りた語で、元来多神教における神々の中の一つの神、即ちゼウスやヘルメスやアルテミスなどを言った。Ⅱテサ2:4、使28:6、Ⅰコリ8:4。複数形の用例－使14:1、19:26)
②唯一の真の神、生ける神ヤハヴェを指して、ユダヤ教徒とキリスト者はこの異教的用語をきよめて最も高い意味に用いた。原則としてθεόςと無冠詞で使われる時は神的本質を指し(ヨハ1:1)、ὁ θεός、と冠詞つきで使われる時は人格神としての神を指し示す」とは Dana-Manteyの指摘である。③ヨハ10:34、35では換喩的な意味で、神の代理者、神を代表して裁きを行なう「さばき人」ショフェティーム（士師）の意味で用いられているのは、新約中この語の例外的な用法である。詩82:6(LXX,81:6)参照","①ギリシャ神話から借りた語で、元来多神教における神々の中の一つの神、即ちゼウスやヘルメスやアルテミスなどを言った。Ⅱテサ2:4、使28:6、Ⅰコリ8:4。複数形の用例－使14:1、19:26)
②唯一の真の神、生ける神ヤハヴェを指して、ユダヤ教徒とキリスト者はこの異教的用語をきよめて最も高い意味に用いた。原則としてθεόςと無冠詞で使われる時は神的本質を指し(ヨハ1:1)、ὁ θεός、と冠詞つきで使われる時は人格神としての神を指し示す」とは Dana-Manteyの指摘である。③ヨハ10:34、35では換喩的な意味で、神の代理者、神を代表して裁きを行なう「さばき人」ショフェティーム（士師）の意味で用いられているのは、新約中この語の例外的な用法である。詩82:6(LXX,81:6)参照",(1317)神,"""true""","[quiz question=""神,奴隷,パン,兄弟"" answer=""神"" kaisetsu=""(1317)①ギリシャ神話から借りた語で、元来多神教における神々の中の一つの神、即ちゼウスやヘルメスやアルテミスなどを言った。Ⅱテサ2:4、使28:6、Ⅰコリ8:4。複数形の用例－使14:1、19:26)
②唯一の真の神、生ける神ヤハヴェを指して、ユダヤ教徒とキリスト者はこの異教的用語をきよめて最も高い意味に用いた。原則としてθεόςと無冠詞で使われる時は神的本質を指し(ヨハ1:1)、ὁ θεός、と冠詞つきで使われる時は人格神としての神を指し示す」とは Dana-Manteyの指摘である。③ヨハ10:34、35では換喩的な意味で、神の代理者、神を代表して裁きを行なう「さばき人」ショフェティーム（士師）の意味で用いられているのは、新約中この語の例外的な用法である。詩82:6(LXX,81:6)参照"" random=""true""]θεός[/quiz]",,,
2:動詞と名詞の基本構造,2:動詞と名詞の基本構造クイズ,ος変化名詞,ος変化名詞クイズ,κόσμος,,Q. κόσμος,186,世界,神,奴隷,パン,"(186) ①飾り，装飾，特に婦人の身につける飾りやアクセサリー，Ⅰペテ3:3． ②（秩序ある整然としたものという意味で）世界，宇宙，被造物の総体，マタ25:34． ③世，人の世界： (a)すべての人間，世にいる人間，ヨハ3:16 ；(b)この世のことがら，世事，この世における所有物，マコ8:36等；倫理的な意味での，世，この世，神を離れている人間世界；この思想は旧約聖書にも現われ，イスラエルを取りまく異教諸国民の全体，破壊的・腐敗的な異教世界の力をさして使われた．この意味では，神を離れて肉的・この世的な生き方（罪）の中にある人間の総体をκοσμοςと呼ぶ，ヤコ4:4，Ⅰヨハ2:15，Ⅱペテ2:20；(d)時にはοἰκονουμένηと大体同じ意味で，人の住んでいる世界，マタ4:8．
類語：αἰών 時間的世界，いまの一区切りの時間的限界に属する世界，時代（の人々），世代；οἰκουμένη（＜οἰκῶ, 居住する），空間的世界，人の居住する世界；κόσμος, 秩序的世界，人間の総体－世にいる人間"," ①飾り，装飾，特に婦人の身につける飾りやアクセサリー，Ⅰペテ3:3． ②（秩序ある整然としたものという意味で）世界，宇宙，被造物の総体，マタ25:34． ③世，人の世界： (a)すべての人間，世にいる人間，ヨハ3:16 ；(b)この世のことがら，世事，この世における所有物，マコ8:36等；倫理的な意味での，世，この世，神を離れている人間世界；この思想は旧約聖書にも現われ，イスラエルを取りまく異教諸国民の全体，破壊的・腐敗的な異教世界の力をさして使われた．この意味では，神を離れて肉的・この世的な生き方（罪）の中にある人間の総体をκοσμοςと呼ぶ，ヤコ4:4，Ⅰヨハ2:15，Ⅱペテ2:20；(d)時にはοἰκονουμένηと大体同じ意味で，人の住んでいる世界，マタ4:8．
類語：αἰών 時間的世界，いまの一区切りの時間的限界に属する世界，時代（の人々），世代；οἰκουμένη（＜οἰκῶ, 居住する），空間的世界，人の居住する世界；κόσμος, 秩序的世界，人間の総体－世にいる人間",(186)世界,"""true""","[quiz question=""世界,神,奴隷,パン"" answer=""世界"" kaisetsu=""(186) ①飾り，装飾，特に婦人の身につける飾りやアクセサリー，Ⅰペテ3:3． ②（秩序ある整然としたものという意味で）世界，宇宙，被造物の総体，マタ25:34． ③世，人の世界： (a)すべての人間，世にいる人間，ヨハ3:16 ；(b)この世のことがら，世事，この世における所有物，マコ8:36等；倫理的な意味での，世，この世，神を離れている人間世界；この思想は旧約聖書にも現われ，イスラエルを取りまく異教諸国民の全体，破壊的・腐敗的な異教世界の力をさして使われた．この意味では，神を離れて肉的・この世的な生き方（罪）の中にある人間の総体をκοσμοςと呼ぶ，ヤコ4:4，Ⅰヨハ2:15，Ⅱペテ2:20；(d)時にはοἰκονουμένηと大体同じ意味で，人の住んでいる世界，マタ4:8．
類語：αἰών 時間的世界，いまの一区切りの時間的限界に属する世界，時代（の人々），世代；οἰκουμένη（＜οἰκῶ, 居住する），空間的世界，人の居住する世界；κόσμος, 秩序的世界，人間の総体－世にいる人間"" random=""true""]κόσμος[/quiz]",,,
